Respondent ID,What concerns would you face when mandating full disclose of LLM involvement?,,,,,,,,What organizational benefits do you associate with following the AI usage disclosure policy?,,,,What would motivate you most to enforce the AI usage disclosure policy in your organization?,,,,,What concerns would you face when mandating full human oversight of LLM involvement in bug fixes?,,,,,,,What organizational benefits do you associate with following the AI usage human oversight policy?,,,,What would motivate you most to enforce the AI usage human oversight policy in your organization?,,,,
,Increased reporting burden- developers may find disclosure time-consuming or disruptive,Reduced productivity- slowing down delivery timelines due to added compliance steps,Resistance from developers- pushback or reluctance to follow disclosure rules,Difficulty in monitoring compliance- challenges ensuring disclosures are accurate and consistent,Risk of superficial disclosures- developers may comply formally without providing meaningful details,Impact on trust and autonomy- developers may feel micromanaged or less empowered,Confidentiality and legal risks- over-disclosure could reveal sensitive information,Other (please specify),Disclosing AI usage builds accountability and protects the company legally.,Disclosure increases transparency and strengthens trust with clients and stakeholders.,Following a disclosure policy improves oversight and reduces organizational risk.,Clear disclosure ensures higher reliability by enabling better human review of AI outputs.,Regulatory compliance,Reducing liability risk,Improving client trust and reputation,Internal accountability and auditing,Other (please specify),Full oversight slows down delivery and reduces development speed,Constant human review increases workload and resource costs,Strict oversight may discourage developers from using AI tools effectively,Oversight requirements could lead to superficial or box-ticking compliance,Balancing oversight with trust in developers may create friction in teams,Enforcing consistent oversight across all projects may be difficult at scale,Other (please specify),Human oversight improves reliability and reduces the risk of faulty AI-generated fixes.,A clear oversight process protects the organization from legal and compliance risks.,Human involvement ensures that critical decisions remain aligned with organizational standards.,Oversight encourages responsible AI use and prevents over-reliance on automation.,Ensuring software reliability and security,Meeting industry standards or compliance regulations,Protecting brand reputation,Knowledge sharing and organizational learning,Other (please specify)
1.1002E+11,Increased reporting burden- developers may find disclosure time-consuming or disruptive,Reduced productivity- slowing down delivery timelines due to added compliance steps,Resistance from developers- pushback or reluctance to follow disclosure rules,Difficulty in monitoring compliance- challenges ensuring disclosures are accurate and consistent,Risk of superficial disclosures- developers may comply formally without providing meaningful details,Impact on trust and autonomy- developers may feel micromanaged or less empowered,Confidentiality and legal risks- over-disclosure could reveal sensitive information,"Integrating disclosure into workflows (such as Git commits and issue trackers) is necessary for full disclosure, but this could be difficult for a developing startup.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Regulatory compliance,Reducing liability risk,Improving client trust and reputation,Internal accountability and auditing,Preserving a competitive edge through responsible AI governance.,Full oversight slows down delivery and reduces development speed,Constant human review increases workload and resource costs,Strict oversight may discourage developers from using AI tools effectively,Oversight requirements could lead to superficial or box-ticking compliance,Balancing oversight with trust in developers may create friction in teams,Enforcing consistent oversight across all projects may be difficult at scale,Risk of postponed innovation: Excessively stringent regulation could restrict AI tool experimentation.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Ensuring software reliability and security,Meeting industry standards or compliance regulations,Protecting brand reputation,Knowledge sharing and organizational learning,Keeping a competitive edge by exhibiting responsible AI governance.
1.1002E+11,,,,,Risk of superficial disclosures- developers may comply formally without providing meaningful details,Impact on trust and autonomy- developers may feel micromanaged or less empowered,Confidentiality and legal risks- over-disclosure could reveal sensitive information,,Agree,Agree,Disagree,Agree,,Reducing liability risk,,,,Full oversight slows down delivery and reduces development speed,,,Oversight requirements could lead to superficial or box-ticking compliance,,,,Strongly Agree,Agree,Strongly Agree,Agree,,Meeting industry standards or compliance regulations,Protecting brand reputation,Knowledge sharing and organizational learning,
1.1002E+11,Increased reporting burden- developers may find disclosure time-consuming or disruptive,,,Difficulty in monitoring compliance- challenges ensuring disclosures are accurate and consistent,Risk of superficial disclosures- developers may comply formally without providing meaningful details,Impact on trust and autonomy- developers may feel micromanaged or less empowered,Confidentiality and legal risks- over-disclosure could reveal sensitive information,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Regulatory compliance,Reducing liability risk,Improving client trust and reputation,Internal accountability and auditing,,,Constant human review increases workload and resource costs,,Oversight requirements could lead to superficial or box-ticking compliance,Balancing oversight with trust in developers may create friction in teams,Enforcing consistent oversight across all projects may be difficult at scale,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Ensuring software reliability and security,Meeting industry standards or compliance regulations,Protecting brand reputation,Knowledge sharing and organizational learning,
1.1002E+11,Increased reporting burden- developers may find disclosure time-consuming or disruptive,Reduced productivity- slowing down delivery timelines due to added compliance steps,Resistance from developers- pushback or reluctance to follow disclosure rules,,,,,,Strongly Agree,Agree,Strongly Agree,Agree,Regulatory compliance,Reducing liability risk,,,,Full oversight slows down delivery and reduces development speed,Constant human review increases workload and resource costs,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Ensuring software reliability and security,Meeting industry standards or compliance regulations,Protecting brand reputation,,
1.1002E+11,Increased reporting burden- developers may find disclosure time-consuming or disruptive,,Resistance from developers- pushback or reluctance to follow disclosure rules,Difficulty in monitoring compliance- challenges ensuring disclosures are accurate and consistent,Risk of superficial disclosures- developers may comply formally without providing meaningful details,,,,Agree,Agree,Strongly Agree,Agree,Regulatory compliance,,Improving client trust and reputation,,,Full oversight slows down delivery and reduces development speed,Constant human review increases workload and resource costs,,,,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Ensuring software reliability and security,Meeting industry standards or compliance regulations,,,
1.1002E+11,,Reduced productivity- slowing down delivery timelines due to added compliance steps,,,,,,,Agree,Agree,Agree,Agree,Regulatory compliance,,Improving client trust and reputation,,,Full oversight slows down delivery and reduces development speed,,,,,,,Agree,Agree,Agree,Agree,Ensuring software reliability and security,,Protecting brand reputation,,
1.1002E+11,Increased reporting burden- developers may find disclosure time-consuming or disruptive,Reduced productivity- slowing down delivery timelines due to added compliance steps,Resistance from developers- pushback or reluctance to follow disclosure rules,Difficulty in monitoring compliance- challenges ensuring disclosures are accurate and consistent,Risk of superficial disclosures- developers may comply formally without providing meaningful details,,Confidentiality and legal risks- over-disclosure could reveal sensitive information,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Regulatory compliance,,Improving client trust and reputation,,,Full oversight slows down delivery and reduces development speed,Constant human review increases workload and resource costs,Strict oversight may discourage developers from using AI tools effectively,,,Enforcing consistent oversight across all projects may be difficult at scale,,Strongly Agree,Agree,Agree,Strongly Agree,Ensuring software reliability and security,Meeting industry standards or compliance regulations,Protecting brand reputation,Knowledge sharing and organizational learning,
1.1002E+11,,,,,,,,"- It's about establishing a practice and framework around it. As soon as the framework is enforced through dedicated practice under the right governing board and tools, it is not time-consuming   - Different personal preferred tools might not be acceptable, but those are for the benefit of the data and security, and my organisation will not compromise on that. However, this might get uncomfortable for certain developer groups, but sooner or later they can find alternative tools that also bring the same value for them. In the case of some essential tools, we need to place the proper framework and practice around the people and process  - In the absence of a dedicated governing body and the right framework, it might be very challenging for multi-national organisations as AI-related laws vary across jurisdictions. Disclosure requirements might complicate global operations, where standard practices in one region may conflict with rules elsewhere.  - I recently came across multiple acquisitions, and at the beginning, the developers from the new acquisition were complaining about micromanagement. However, as soon as they were introduced to the practice and process, they started to feel empowered because they knew their code and their tools were trusted and vetted. This is a common scenario for Enterprise organisations as their practices are mature and trusted; however, for startups and other organization it might be challenging ",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Regulatory compliance,,Improving client trust and reputation,,,,,,,,,"Once you have celar guidelines, regular enablement for different roles and multiple checks to ensure that is being carried out as well as enough automation to assist in the review process, this is just standard practice. Organization still has internal threat issue, therefore, the practice needs to be more mature and advanced but its not a limitation or burden. However, a ""practice"" is not always depends on Human, Practice is a framework for the people, process and tools.",Agree,Strongly Agree,Agree,Agree,Ensuring software reliability and security,Meeting industry standards or compliance regulations,Protecting brand reputation,,
1.1002E+11,,,,,,,Confidentiality and legal risks- over-disclosure could reveal sensitive information,,Agree,Strongly Agree,Disagree,Agree,Regulatory compliance,Reducing liability risk,Improving client trust and reputation,Internal accountability and auditing,,Full oversight slows down delivery and reduces development speed,Constant human review increases workload and resource costs,Strict oversight may discourage developers from using AI tools effectively,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Ensuring software reliability and security,Meeting industry standards or compliance regulations,Protecting brand reputation,Knowledge sharing and organizational learning,
1.1002E+11,,,Resistance from developers- pushback or reluctance to follow disclosure rules,,,Impact on trust and autonomy- developers may feel micromanaged or less empowered,,,Agree,Agree,Agree,Disagree,,,,Internal accountability and auditing,,Full oversight slows down delivery and reduces development speed,Constant human review increases workload and resource costs,Strict oversight may discourage developers from using AI tools effectively,,,,,Agree,Agree,Agree,Agree,Ensuring software reliability and security,,,,
